CLASSROOM floor | Assets/Generated/Parquet floor 12.mat | texture=Assets/Art/Surfaces/floor.png | scale=(1.00, 1.00)
CLASSROOM ceiling | Assets/Generated/Stained acoustic ceiling 14.mat | texture=Assets/Art/Surfaces/ceiling.png | scale=(1.00, 1.00)
CLASSROOM back | Assets/Generated/Damp plaster 17.mat | texture=Assets/Art/Surfaces/wall.png | scale=(1.00, 1.00)
CLASSROOM side | Assets/Generated/Damp plaster 17.mat | texture=Assets/Art/Surfaces/wall.png | scale=(1.00, 1.00)
CLASSROOM doorway wall | Assets/Generated/Damp plaster 17.mat | texture=Assets/Art/Surfaces/wall.png | scale=(1.00, 1.00)
CLASSROOM skirting | Assets/Generated/Old oak 17.mat | texture= | scale=(1.00, 1.00)
CLASSROOM side | Assets/Generated/Damp plaster 17.mat | texture=Assets/Art/Surfaces/wall.png | scale=(1.00, 1.00)
CLASSROOM doorway wall | Assets/Generated/Damp plaster 17.mat | texture=Assets/Art/Surfaces/wall.png | scale=(1.00, 1.00)
CLASSROOM skirting | Assets/Generated/Old oak 17.mat | texture= | scale=(1.00, 1.00)
CLASSROOM lintel | Assets/Generated/Damp plaster 17.mat | texture=Assets/Art/Surfaces/wall.png | scale=(1.00, 1.00)
CLASSROOM sign opaque backing | Assets/ClassroomReview/Oak trim 6.mat | texture= | scale=(1.00, 1.00)
CLASSROOM sign interior | Library/unity default resources | texture=Library/unity default resources | scale=(1.00, 1.00)
CLASSROOM leaf | Assets/Generated/School sliding door 14.mat | texture=Assets/Art/Surfaces/classroom-door.png | scale=(1.00, 1.00)
CLASSROOM left leaf | Assets/Generated/School sliding door 14.mat | texture=Assets/Art/Surfaces/classroom-door.png | scale=(1.00, 1.00)
CLASSROOM door latch | Assets/Generated/Oxidized iron 17.mat | texture= | scale=(1.00, 1.00)
CLASSROOM sign | Library/unity default resources | texture=Library/unity default resources | scale=(1.00, 1.00)
