10-MINUTE WALK PROFILING REPORT
==================================
Date: 2026-05-27T07:27:03.197Z
Total Frames Measured: 16116
Approx Average FPS: 131.6
Average Frame Time: 7.60ms
95th Percentile Frame Time: 34.70ms
99th Percentile Frame Time: 66.30ms
Max Frame Time (Worst): 151.00ms
Frames > 16.7ms (dropped): 1889
Frames > 33.3ms (SPIKE): 886

Active Objects (End of Run):
  Chunks: 63
  PointLights: 8
  Colliders: 476
  Player Position: x=0.0, z=-1769.2

Stability Analysis (Second Half of Run):
  Geometries: min=21, max=91 (delta=70)
  Textures: min=9, max=9 (delta=0)
  Colliders: min=438, max=518 (delta=80)
  JS Heap: min=19.9MB, max=80.3MB

Metrics History:
Time: 2.0s, FPS: 33, Geo: 38, Tex: 5, DrawCalls: 176, Triangles: 6256, Heap: 57.8MB, Colliders: 400
Time: 4.0s, FPS: 26, Geo: 38, Tex: 5, DrawCalls: 148, Triangles: 5472, Heap: 56.8MB, Colliders: 400
Time: 6.1s, FPS: 32, Geo: 38, Tex: 5, DrawCalls: 159, Triangles: 5768, Heap: 54.7MB, Colliders: 445
Time: 8.1s, FPS: 34, Geo: 38, Tex: 5, DrawCalls: 132, Triangles: 4600, Heap: 56.0MB, Colliders: 445
Time: 10.1s, FPS: 33, Geo: 38, Tex: 5, DrawCalls: 113, Triangles: 4324, Heap: 48.9MB, Colliders: 445
Time: 12.1s, FPS: 34, Geo: 45, Tex: 5, DrawCalls: 152, Triangles: 5512, Heap: 47.3MB, Colliders: 499
Time: 14.1s, FPS: 27, Geo: 45, Tex: 5, DrawCalls: 135, Triangles: 4916, Heap: 40.2MB, Colliders: 499
Time: 16.1s, FPS: 32, Geo: 59, Tex: 5, DrawCalls: 175, Triangles: 6128, Heap: 48.9MB, Colliders: 502
Time: 18.2s, FPS: 30, Geo: 59, Tex: 5, DrawCalls: 144, Triangles: 5344, Heap: 38.5MB, Colliders: 502
Time: 20.2s, FPS: 27, Geo: 61, Tex: 9, DrawCalls: 120, Triangles: 24624, Heap: 34.7MB, Colliders: 502
Time: 22.2s, FPS: 28, Geo: 68, Tex: 9, DrawCalls: 163, Triangles: 5788, Heap: 37.4MB, Colliders: 497
Time: 24.2s, FPS: 27, Geo: 68, Tex: 9, DrawCalls: 145, Triangles: 4676, Heap: 40.1MB, Colliders: 497
Time: 26.2s, FPS: 30, Geo: 82, Tex: 9, DrawCalls: 193, Triangles: 6248, Heap: 50.9MB, Colliders: 502
Time: 28.2s, FPS: 32, Geo: 82, Tex: 9, DrawCalls: 173, Triangles: 5788, Heap: 36.3MB, Colliders: 502
Time: 30.2s, FPS: 30, Geo: 82, Tex: 9, DrawCalls: 142, Triangles: 5016, Heap: 62.5MB, Colliders: 502
Time: 32.2s, FPS: 29, Geo: 76, Tex: 9, DrawCalls: 156, Triangles: 5848, Heap: 37.5MB, Colliders: 490
Time: 34.2s, FPS: 30, Geo: 76, Tex: 9, DrawCalls: 136, Triangles: 5384, Heap: 51.8MB, Colliders: 490
Time: 36.3s, FPS: 33, Geo: 83, Tex: 9, DrawCalls: 158, Triangles: 5828, Heap: 38.5MB, Colliders: 486
Time: 38.3s, FPS: 20, Geo: 83, Tex: 9, DrawCalls: 146, Triangles: 5272, Heap: 47.1MB, Colliders: 486
Time: 40.3s, FPS: 30, Geo: 83, Tex: 9, DrawCalls: 123, Triangles: 4284, Heap: 48.1MB, Colliders: 486
Time: 42.3s, FPS: 27, Geo: 77, Tex: 9, DrawCalls: 154, Triangles: 5560, Heap: 71.9MB, Colliders: 489
Time: 44.3s, FPS: 29, Geo: 77, Tex: 9, DrawCalls: 134, Triangles: 4808, Heap: 56.6MB, Colliders: 489
Time: 46.3s, FPS: 38, Geo: 70, Tex: 9, DrawCalls: 156, Triangles: 5780, Heap: 71.2MB, Colliders: 488
Time: 48.3s, FPS: 41, Geo: 70, Tex: 9, DrawCalls: 130, Triangles: 5008, Heap: 46.1MB, Colliders: 488
Time: 50.4s, FPS: 25, Geo: 70, Tex: 9, DrawCalls: 117, Triangles: 4812, Heap: 55.4MB, Colliders: 488
Time: 52.4s, FPS: 36, Geo: 91, Tex: 9, DrawCalls: 169, Triangles: 5884, Heap: 63.7MB, Colliders: 500
Time: 54.4s, FPS: 33, Geo: 91, Tex: 9, DrawCalls: 153, Triangles: 5180, Heap: 66.7MB, Colliders: 500
Time: 56.4s, FPS: 35, Geo: 84, Tex: 9, DrawCalls: 184, Triangles: 6284, Heap: 58.6MB, Colliders: 502
Time: 58.4s, FPS: 31, Geo: 84, Tex: 9, DrawCalls: 164, Triangles: 5752, Heap: 70.3MB, Colliders: 502
Time: 60.4s, FPS: 33, Geo: 84, Tex: 9, DrawCalls: 140, Triangles: 4848, Heap: 69.7MB, Colliders: 502
Time: 62.5s, FPS: 27, Geo: 70, Tex: 9, DrawCalls: 168, Triangles: 6160, Heap: 71.7MB, Colliders: 494
Time: 64.5s, FPS: 25, Geo: 70, Tex: 9, DrawCalls: 145, Triangles: 5468, Heap: 54.7MB, Colliders: 494
Time: 66.5s, FPS: 27, Geo: 63, Tex: 9, DrawCalls: 161, Triangles: 6200, Heap: 53.4MB, Colliders: 504
Time: 68.5s, FPS: 32, Geo: 63, Tex: 9, DrawCalls: 135, Triangles: 5188, Heap: 67.8MB, Colliders: 504
Time: 70.5s, FPS: 20, Geo: 63, Tex: 9, DrawCalls: 116, Triangles: 4656, Heap: 57.1MB, Colliders: 504
Time: 72.5s, FPS: 34, Geo: 56, Tex: 9, DrawCalls: 147, Triangles: 5404, Heap: 78.7MB, Colliders: 497
Time: 74.5s, FPS: 31, Geo: 56, Tex: 9, DrawCalls: 134, Triangles: 5024, Heap: 75.5MB, Colliders: 497
Time: 76.6s, FPS: 22, Geo: 56, Tex: 9, DrawCalls: 134, Triangles: 5124, Heap: 69.8MB, Colliders: 475
Time: 78.6s, FPS: 29, Geo: 56, Tex: 9, DrawCalls: 129, Triangles: 4708, Heap: 60.4MB, Colliders: 482
Time: 80.6s, FPS: 21, Geo: 56, Tex: 9, DrawCalls: 108, Triangles: 4272, Heap: 69.3MB, Colliders: 482
Time: 82.6s, FPS: 26, Geo: 56, Tex: 9, DrawCalls: 152, Triangles: 5416, Heap: 74.7MB, Colliders: 488
Time: 84.7s, FPS: 22, Geo: 56, Tex: 9, DrawCalls: 135, Triangles: 4556, Heap: 60.2MB, Colliders: 488
Time: 86.7s, FPS: 24, Geo: 49, Tex: 9, DrawCalls: 138, Triangles: 4828, Heap: 74.6MB, Colliders: 464
Time: 88.7s, FPS: 25, Geo: 56, Tex: 9, DrawCalls: 160, Triangles: 5200, Heap: 73.0MB, Colliders: 487
Time: 90.8s, FPS: 20, Geo: 56, Tex: 9, DrawCalls: 126, Triangles: 4224, Heap: 77.1MB, Colliders: 487
Time: 92.8s, FPS: 33, Geo: 56, Tex: 9, DrawCalls: 163, Triangles: 15536, Heap: 61.9MB, Colliders: 484
Time: 94.8s, FPS: 30, Geo: 56, Tex: 9, DrawCalls: 133, Triangles: 4532, Heap: 80.3MB, Colliders: 484
Time: 96.8s, FPS: 20, Geo: 49, Tex: 9, DrawCalls: 151, Triangles: 15208, Heap: 19.9MB, Colliders: 455
Time: 98.9s, FPS: 20, Geo: 49, Tex: 9, DrawCalls: 171, Triangles: 15800, Heap: 24.7MB, Colliders: 485
Time: 100.9s, FPS: 20, Geo: 49, Tex: 9, DrawCalls: 146, Triangles: 5112, Heap: 23.6MB, Colliders: 485
Time: 102.9s, FPS: 33, Geo: 49, Tex: 9, DrawCalls: 159, Triangles: 5812, Heap: 27.0MB, Colliders: 481
Time: 104.9s, FPS: 28, Geo: 49, Tex: 9, DrawCalls: 144, Triangles: 5408, Heap: 36.9MB, Colliders: 481
Time: 106.9s, FPS: 33, Geo: 49, Tex: 9, DrawCalls: 127, Triangles: 4880, Heap: 45.7MB, Colliders: 447
Time: 108.9s, FPS: 33, Geo: 63, Tex: 9, DrawCalls: 169, Triangles: 5476, Heap: 46.6MB, Colliders: 484
Time: 110.9s, FPS: 31, Geo: 63, Tex: 9, DrawCalls: 138, Triangles: 5088, Heap: 24.1MB, Colliders: 484
Time: 112.9s, FPS: 33, Geo: 63, Tex: 9, DrawCalls: 157, Triangles: 5648, Heap: 42.4MB, Colliders: 474
Time: 115.0s, FPS: 20, Geo: 63, Tex: 9, DrawCalls: 128, Triangles: 4712, Heap: 41.6MB, Colliders: 474
Time: 117.0s, FPS: 35, Geo: 63, Tex: 9, DrawCalls: 99, Triangles: 4180, Heap: 20.2MB, Colliders: 474
Time: 119.0s, FPS: 43, Geo: 56, Tex: 9, DrawCalls: 131, Triangles: 4924, Heap: 24.3MB, Colliders: 473
Time: 121.0s, FPS: 29, Geo: 56, Tex: 9, DrawCalls: 112, Triangles: 4320, Heap: 45.3MB, Colliders: 473
Time: 123.0s, FPS: 33, Geo: 56, Tex: 9, DrawCalls: 142, Triangles: 15288, Heap: 28.6MB, Colliders: 483
Time: 125.0s, FPS: 27, Geo: 56, Tex: 9, DrawCalls: 128, Triangles: 14684, Heap: 25.7MB, Colliders: 483
Time: 127.0s, FPS: 32, Geo: 56, Tex: 9, DrawCalls: 101, Triangles: 4108, Heap: 41.5MB, Colliders: 483
Time: 129.1s, FPS: 34, Geo: 56, Tex: 9, DrawCalls: 151, Triangles: 15632, Heap: 42.0MB, Colliders: 486
Time: 131.1s, FPS: 25, Geo: 56, Tex: 9, DrawCalls: 129, Triangles: 14944, Heap: 53.2MB, Colliders: 486
Time: 133.1s, FPS: 20, Geo: 49, Tex: 9, DrawCalls: 156, Triangles: 15696, Heap: 42.4MB, Colliders: 481
Time: 135.1s, FPS: 20, Geo: 49, Tex: 9, DrawCalls: 141, Triangles: 5164, Heap: 33.2MB, Colliders: 481
Time: 137.1s, FPS: 20, Geo: 49, Tex: 9, DrawCalls: 102, Triangles: 4264, Heap: 22.0MB, Colliders: 481
Time: 139.1s, FPS: 23, Geo: 56, Tex: 9, DrawCalls: 161, Triangles: 6148, Heap: 39.8MB, Colliders: 490
Time: 141.1s, FPS: 24, Geo: 56, Tex: 9, DrawCalls: 142, Triangles: 5360, Heap: 35.8MB, Colliders: 490
Time: 143.1s, FPS: 25, Geo: 42, Tex: 9, DrawCalls: 163, Triangles: 5984, Heap: 21.5MB, Colliders: 480
Time: 145.1s, FPS: 20, Geo: 42, Tex: 9, DrawCalls: 151, Triangles: 15248, Heap: 27.1MB, Colliders: 480
Time: 147.1s, FPS: 20, Geo: 42, Tex: 9, DrawCalls: 127, Triangles: 14696, Heap: 33.6MB, Colliders: 480
Time: 149.1s, FPS: 20, Geo: 49, Tex: 9, DrawCalls: 163, Triangles: 15920, Heap: 28.1MB, Colliders: 486
Time: 151.2s, FPS: 20, Geo: 49, Tex: 9, DrawCalls: 132, Triangles: 14652, Heap: 50.0MB, Colliders: 486
Time: 153.2s, FPS: 20, Geo: 49, Tex: 9, DrawCalls: 158, Triangles: 5900, Heap: 24.6MB, Colliders: 493
Time: 155.3s, FPS: 21, Geo: 49, Tex: 9, DrawCalls: 146, Triangles: 5320, Heap: 39.7MB, Colliders: 493
Time: 157.3s, FPS: 20, Geo: 49, Tex: 9, DrawCalls: 122, Triangles: 4744, Heap: 47.9MB, Colliders: 493
Time: 159.3s, FPS: 20, Geo: 49, Tex: 9, DrawCalls: 140, Triangles: 5464, Heap: 48.3MB, Colliders: 493
Time: 161.4s, FPS: 20, Geo: 49, Tex: 9, DrawCalls: 114, Triangles: 4784, Heap: 25.7MB, Colliders: 493
Time: 163.4s, FPS: 20, Geo: 56, Tex: 9, DrawCalls: 142, Triangles: 5852, Heap: 49.4MB, Colliders: 496
Time: 165.4s, FPS: 20, Geo: 56, Tex: 9, DrawCalls: 129, Triangles: 5272, Heap: 30.1MB, Colliders: 496
